Id;user;created_at;text;géo;location;Followers;source
1396776507742343169;Khalid🗿;2021-05-24 10:34:04;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;jupiter ;1323;Twitter for Android
1396776502662893570;bimal Kumar;2021-05-24 10:34:03;RT @blsanthosh: Central Govt is putting its best foot forward to enhance production . They have already told how this will be phased . Raw…;;Guwahati, India;5998;Twitter for Android
1396776489652260865;VIVI_PLACE | Follow back 🔙;2021-05-24 10:34:00;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;;203;Twitter for Android
1396776489274720258;Taz 🇵🇸;2021-05-24 10:34:00;A man followed me on foot from Strand street all the way to upper Bloem street in town. He wore a noisy jacket so I… https://t.co/QakYRpGUid;;Cape Town, South Africa.;1566;Twitter for Android
1396776489044033537;Owaen;2021-05-24 10:34:00;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;;612;Twitter for Android
1396776479002857473;James R. Gretz;2021-05-24 10:33:58;#OrdinaryTime Well, not yet. Today we celebrate the memorial of Mary, Mother of the Church. She was at the foot of… https://t.co/3lEsaqG9VD;;Pittsburgh, PA;452;Twitter for iPhone
1396776475156787204;Ebony;2021-05-24 10:33:57;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;🇳🇬;432;Twitter for Android
1396776457226096642;blckgirlmuse;2021-05-24 10:33:52;No plan, just one foot in front of the other. Me and God. Literally. Calling me crazy is an understatement. Blessed… https://t.co/lftabgMnbn;;;8;Twitter for iPhone
1396776456596959240;Izzy Nic;2021-05-24 10:33:52;@RichLido Does that mean I have to foot part of the bill? I’d rather dig oils 😜;;;399;Twitter for iPhone
1396776447990173703;Paing Zay Yair Yint;2021-05-24 10:33:50;`RT @ppkx26: Locals staged foot protest with anti-military slogans written in Amarapura Township, Mandalay today, May 24.
#May24Coup
#WhatsH…`;;United States;221;Twitter for Android
1396776428100849664;Noor Bint Shamweel Shithu 🦋👩🏻‍🍳✍🏻;2021-05-24 10:33:45;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;;962;Twitter for iPhone
1396776426502860800;Small Daddy;2021-05-24 10:33:45;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Unknown;23623;Twitter for Android
1396776413689090049;fikrete veliu;2021-05-24 10:33:42;RT @Independent_ie: Sinéad O’Connor: ‘They gave me a foot up the arse, but they loved me into good health’ https://t.co/HvzhNoMf9R;;;3;Twitter Web App
1396776412359573513;Anjata Gabriel Lorca 🐱❤️🖖;2021-05-24 10:33:42;`@ValeSilingardi good to hear that you new knee band help for you ! I've support for my foot too 
But be careful, li… https://t.co/UtVlcAefKN`;;Belgique;695;Twitter Web App
1396776404411367424;Svend Karlsen;2021-05-24 10:33:40;Google estimates 2 days and 5 hours by foot. Shoes ready, Geir? https://t.co/m6NxxnE34u;;Fredrikstad / Leeds;10459;Twitter for iPhone
1396776399822852098;Kenny;2021-05-24 10:33:39;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;;1024;Twitter for iPhone
1396776399470485510;SC ABBEVILLE;2021-05-24 10:33:39;RT @yanmae: #foot #football #HappyBirthday 🎂 Joyeux Anniversaire Philippe Fluckinger 🇫🇷 (5⃣8⃣ ans) ex gardien de but du SO Merlebach, @RCSA…;;Abbeville, France;299;Twitter for iPhone
1396776397616685056;Raf (elusive2.0);2021-05-24 10:33:38;@sherryabbasi93 For myself Sherry, Wilder will try implementing the new tactics he has been working on with Malik S… https://t.co/mIeBcYRVps;;United Kingdom;232;Twitter for iPhone
1396776393745342467;NBA ID😭😭;2021-05-24 10:33:37;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Abuja, Nigeria;2903;Twitter for Android
1396776382139600901;Olamide_Adedeji;2021-05-24 10:33:35;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Lagos, Nigeria;659;Twitter for Android
